"","Electorate","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Employ_away_from_work","Unemploy","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P","Enrolment"
"76","STAFFORD","47287","0.231374374","0.63548121","0.133102121","360","2174","47287","1.587216148","2522","1262","9043","3548","5235","359","582","6176","0.616710576","0.045050809","0.054911554","1110","2280","3","65","14136","1125","119","436","133","730","20486","196","0","283","46","23","543","0","96","63","39","198","175","918","53","19","7","79","25113",30582
"77","STRETTON","59141","0.265839265","0.631845928","0.102314807","400","1658","59141","1.919593978","4360","832","10197","4444","4892","361","692","5950","0.559340253","0.042561053","0.086297827","448","2457","5","60","17311","1642","152","93","136","264","22712","129","0","106","24","7","268","0","259","140","20","427","202","890","63","34","3","97","27204",34656
"78","TOOHEY","54785","0.217358766","0.637108698","0.145605549","370","1420","54785","1.723770637","3668","755","8661","3920","5110","439","659","6209","0.513280468","0.043459851","0.108938332","695","2193","5","71","13596","1534","143","142","137","644","19329","195","0","105","19","6","329","0","138","97","18","257","167","746","71","23","5","94","23146",32204
"79","SURFERS PARADISE","58376","0.177178978","0.636340277","0.186360833","380","1627","58376","1.543958324","2121","784","7929","5270","7159","472","1066","8692","0.540176482","0.041680594","0.07320008","270","408","806","64","16509","1247","115","413","298","1993","22394","65","16","100","13","12","201","172","19","14","8","214","228","644","54","31","22","107","27729",34476
"80","THURINGOWA","52997","0.311979923","0.582731098","0.105100289","300","1631","52997","1.902335205","568","485","3466","3146","9261","583","666","10511","0.57917272","0.050233198","0.095955348","9","271","3","24","17419","1457","209","188","194","318","20365","0","0","0","3","0","4","0","13","17","12","49","152","201","0","8","9","19","23650",35920
"81","TOOWOOMBA NORTH","50427","0.26265691","0.561683225","0.175759018","275","1538","50427","1.693012414","1262","826","5040","3342","7405","608","726","8744","0.580002511","0.044364458","0.073243209","9","103","0","73","15567","1392","185","209","109","867","18705","0","0","5","0","0","7","0","5","11","10","24","161","193","0","3","9","10","22145",33001
"82","TOOWOOMBA SOUTH","51015","0.257728119","0.543310791","0.199274723","295","1546","51015","1.61772395","1597","758","5506","3302","7143","543","726","8414","0.57952962","0.044504497","0.074314909","11","96","3","77","15780","1542","141","224","101","608","18755","3","0","15","0","0","14","0","5","6","4","25","162","200","0","11","3","12","21918",32392
"83","TOWNSVILLE","49815","0.234367158","0.634226639","0.131225534","265","1691","49815","1.535979883","1520","774","5793","3325","7480","509","609","8600","0.592599836","0.048578245","0.090507295","3","343","3","54","15557","1412","149","489","188","1210","19765","3","0","5","0","3","8","0","8","17","10","46","277","328","0","26","47","77","23254",31114
"84","WARREGO","41111","0.269660188","0.570261001","0.160176109","180","1480","41111","1.967829401","290","287","2531","2229","5548","494","551","6593","0.643181008","0.057567884","0.05053747","5","94","0","16","10655","1009","316","154","269","1422","14083","3","0","3","0","0","6","0","7","0","4","11","125","144","0","3","20","28","18642",34151
"85","WATERFORD","64271","0.286505578","0.579437071","0.134026233","330","1419","64271","1.7555351","709","487","3689","3889","10180","824","1062","12072","0.585965272","0.048981406","0.097347553","636","488","3","29","18447","1657","319","72","127","341","22386","86","0","117","45","28","277","0","108","47","10","163","187","623","79","7","6","91","26408",32905
"86","WHITSUNDAY","59648","0.271241282","0.612225054","0.116550429","300","1817","59648","1.895714587","685","586","4334","3769","11144","646","926","12710","0.608214181","0.053968668","0.069244048","14","678","3","52","18565","1461","229","161","415","1569","23444","0","0","7","0","0","7","0","45","22","9","84","262","357","3","17","18","43","28572",35508
"87","WOODRIDGE","63578","0.331026456","0.573169964","0.095882223","310","1268","63578","1.705920945","829","335","3098","3295","8021","830","933","9787","0.54760354","0.051990345","0.135282173","414","692","0","59","15416","1724","247","74","124","286","19268","111","0","73","35","11","227","0","140","51","9","205","152","585","50","6","3","59","22576",36013
"88","BONNEY","55664","0.1986830075","0.5912715645","0.210043651","360","1419.5","55664","1.5814256735","1693.5","598.5","5775.5","4591.5","8028","498","1053","9578","0.534785955","0.043567219","0.086458205","193.5","368","305","44","16105.5","1304.5","123","257","199.5","825.5","19965","66.5","5","83.5","15","4","174","78.5","13","18","9.5","125","207.5","502.5","56","28","19","101","24196.5",33499
"89","BANCROFT","59261.5","0.27955950225","0.55939855","0.16117398","333.75","1510.75","59261.5","1.8326458505","741","586.25","3883.5","4253.75","10023.25","688","979.5","11692.75","0.564763537","0.0496917815","0.0893111735","836.5","217.5","2.25","24.5","16765.25","1413.5","328","84","157.25","351.25","20436.5","139.75","0","370.5","75","28","615.25","0","21.75","19","3.75","45.5","160","818.5","93.75","7.75","4","106","25143.25",34584
"90","JORDAN","59561.6","0.2981886878","0.5956024114","0.1063000998","334","1597.4","59561.6","1.9849531992","1126","517.4","4327.6","3799.2","8619.4","642","891.2","10152.6","0.5877284664","0.0493898874","0.0866235254","614.4","509.8","2","24.8","17842.6","1552.2","377.6","62.8","139.6","310.6","21665.2","109.8","0","268","51.4","15.6","445.8","0","81.6","45.2","8.6","137.6","163.2","746.4","74.4","9.4","6.8","95.2","26121.4",35960
"91","MACALISTER","63558.6666666667","0.277557514333333","0.564880628666667","0.157550538333333","373.333333333333","1603","63558.6666666667","1.85518155033333","998.333333333333","615.666666666667","4483.66666666667","4638.66666666667","10359.6666666667","697","1141.33333333333","12203.3333333333","0.582413264333333","0.0470961713333333","0.0799840043333333","423.333333333333","376.666666666667","3.66666666666667","21.6666666666667","19010.6666666667","1459.66666666667","330.666666666667","68.3333333333333","177","365.666666666667","22482","63.6666666666667","0","139","33.3333333333333","15","251","1.66666666666667","95","32.6666666666667","6.33333333333333","154.333333333333","333","738.333333333333","75.3333333333333","30.3333333333333","24.6666666666667","128.333333333333","27362",31838
"92","MILLER","63558.6666666667","0.277557514333333","0.564880628666667","0.157550538333333","373.333333333333","1603","63558.6666666667","1.85518155033333","998.333333333333","615.666666666667","4483.66666666667","4638.66666666667","10359.6666666667","697","1141.33333333333","12203.3333333333","0.582413264333333","0.0470961713333333","0.0799840043333333","423.333333333333","376.666666666667","3.66666666666667","21.6666666666667","19010.6666666667","1459.66666666667","330.666666666667","68.3333333333333","177","365.666666666667","22482","63.6666666666667","0","139","33.3333333333333","15","251","1.66666666666667","95","32.6666666666667","6.33333333333333","154.333333333333","333","738.333333333333","75.3333333333333","30.3333333333333","24.6666666666667","128.333333333333","27362",31435
"93","NINDERRY","59561.6","0.2981886878","0.5956024114","0.1063000998","334","1597.4","59561.6","1.9849531992","1126","517.4","4327.6","3799.2","8619.4","642","891.2","10152.6","0.5877284664","0.0493898874","0.0866235254","614.4","509.8","2","24.8","17842.6","1552.2","377.6","62.8","139.6","310.6","21665.2","109.8","0","268","51.4","15.6","445.8","0","81.6","45.2","8.6","137.6","163.2","746.4","74.4","9.4","6.8","95.2","26121.4",35052
