"","Electorate","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Employ_away_from_work","Unemploy","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P","Enrolment"
"32","GLASS HOUSE","55380","0.25061394","0.568562658","0.180859516","320","1459","55380","2.100138773","991","802","4302","4265","9479","631","962","11068","0.53145098","0.053803922","0.071019608","366","135","4","14","15100","1141","508","54","161","627","18276","41","0","137","26","16","223","0","6","9","6","20","157","400","69","8","10","81","23690",34983
"33","GREENSLOPES","47328","0.24063979","0.639156525","0.12033046","370","2316","47328","1.639421401","3065","1410","9824","3601","4690","337","551","5576","0.610667065","0.043213565","0.054082319","358","3425","3","54","14292","1134","75","506","138","482","20734","125","0","58","16","7","204","0","189","100","32","326","184","714","35","27","10","74","25323",35784
"34","GREGORY","41497","0.29098489","0.60708003","0.10205557","150","1924","41497","1.94515885","350","329","2622","1890","6412","496","528","7432","0.656713579","0.063569798","0.050114112","4","581","0","20","11389","1102","203","167","257","1605","15447","0","0","0","0","0","0","0","85","9","6","98","119","219","0","4","19","23","19971",35916
"35","GYMPIE","49300","0.238458418","0.540283976","0.221095335","255","1163","49300","1.827372304","521","485","2898","3240","8446","657","846","9952","0.502431365","0.05642792","0.092391855","7","148","0","17","11801","964","318","57","143","567","14148","5","0","8","0","0","16","0","10","5","3","23","96","127","0","8","4","16","17920",31792
"36","HERVEY BAY","53035","0.220910719","0.49791647","0.281191666","290","1093","53035","1.595002524","641","602","3435","3437","8952","607","1005","10565","0.481239296","0.051325964","0.11931081","5","121","0","25","11608","1003","159","196","129","491","13912","3","0","6","0","0","4","0","7","6","3","22","150","175","4","8","4","16","16967",32809
"37","HINCHINBROOK","52783","0.2585681","0.580205748","0.161396662","275","1535","52783","1.904827058","488","426","3235","2892","9897","529","685","11115","0.596434234","0.056232355","0.071779402","3","477","0","18","16426","1362","300","134","295","781","20019","0","0","4","0","0","3","0","28","14","0","51","151","208","0","7","11","19","23999",30336
"38","INALA","58495","0.285819301","0.612479699","0.101940337","310","1377","58495","1.777317483","1063","470","4107","3340","6704","585","752","8033","0.557690761","0.048484361","0.109753156","887","453","0","29","14657","1533","205","101","102","265","18442","191","0","296","63","21","573","0","38","35","7","84","149","803","81","8","6","103","22143",32139
"39","IPSWICH","52119","0.280089795","0.580172298","0.139929776","280","1502","52119","1.722695194","663","534","3441","3404","8736","653","779","10168","0.582122033","0.049437464","0.089102406","734","136","0","30","15202","1239","210","96","101","460","18435","102","0","268","65","15","443","0","14","9","0","28","156","630","59","3","14","72","22182",30774
"40","IPSWICH WEST","55108","0.290284532","0.572856935","0.136949263","289","1484","55108","1.943808939","638","530","3172","3489","9247","689","900","10836","0.583353255","0.049406327","0.082596223","343","120","0","16","16204","1099","356","70","123","375","18919","63","0","303","47","11","412","0","17","11","3","30","150","599","64","4","4","68","23025",32890
"41","KURWONGBAH","53146","0.287585143","0.589602228","0.122944342","345","1651","53146","1.878592638","706","599","3768","3988","9325","593","876","10797","0.597282569","0.045806024","0.077177995","1237","212","3","22","16687","1198","301","70","139","259","20409","213","0","390","101","39","745","0","37","7","3","46","164","951","97","10","5","110","25061",34345
