Electorate,TotalEstimatedCost,Party,Safety,Margin,MarginPower,Unnamed: 0,Tot_Population,Under_Age,Working_Age,Retired,Median_rent_weekly,Median_tot_fam_inc_weekly,Tot_P_Need_for_Asstn,Ave_Motor_Vehicle_per_Dwelling,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_P,Full_time_Employ,Employ_away_from_work,Unemploy,One_method_Train_P,One_method_Bus_P,One_met_Tram_incl_lt_rail_P,One_method_Taxi_P,One_method_Car_as_driver_P,One_method_Car_as_passenger_P,One_method_Truck_P,One_method_Bicycle_P,One_method_Other_P,One_method_Walked_only_P,One_method_Tot_one_method_P,Two_methods_Train_Bus_P,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_P,Two_methods_Train_Tot_P,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_P,Tot_P,Enrolment
MCCONNEL,124760000,ALP,Safe,15.73,15.73,7,62513.0,0.127109561,0.787148273,0.085646186,430.0,2322.0,62513.0,1.126213983,5645.0,1814.0,15961.0,4756.0,4677.0,442,671.0,5793.0,0.619467633,0.038378747000000005,0.075891216,1693.0,4329.0,13.0,201.0,12211.0,1360.0,64.0,1106.0,280.0,7537.0,29386.0,363.0,4,50.0,22.0,36.0,482.0,0.0,63.0,69.0,84.0,263.0,170.0,919.0,81.0,53.0,18.0,158.0,35206.0,33009
MIRANI,268500000,ONP,Fairly Safe,9.63,-9.63,53,53528.0,0.266141085,0.608223733,0.125653863,200.0,1799.0,53528.0,2.062284355,327.0,354.0,2457.0,2185.0,9834.0,561,693.0,11087.0,0.617457232,0.061469672999999996,0.071500778,4.0,629.0,0.0,12.0,15332.0,1164.0,310.0,111.0,216.0,896.0,18818.0,0.0,0,4.0,0.0,0.0,7.0,0.0,79.0,14.0,5.0,101.0,140.0,251.0,0.0,9.0,8.0,21.0,23876.0,33074
MOGGILL,6492500,LNP,Safe,10.06,-10.06,54,47419.0,0.28737425899999997,0.5560851139999999,0.156456273,440.0,2446.0,47419.0,2.044762344,4267.0,1432.0,9527.0,3940.0,3910.0,293,642.0,4849.0,0.5701393920000001,0.03968254,0.059141085,226.0,1226.0,0.0,26.0,14249.0,980.0,114.0,385.0,112.0,314.0,17896.0,131.0,0,347.0,55.0,3.0,544.0,0.0,183.0,67.0,20.0,269.0,231.0,1044.0,68.0,25.0,12.0,104.0,23357.0,33186
MORAYFIELD,70915061,ALP,Safe,17.45,17.45,55,55741.0,0.31118925,0.57742057,0.11164134099999999,330.0,1560.0,55741.0,1.990049751,486.0,474.0,3025.0,3845.0,9981.0,683,891.0,11555.0,0.56341696,0.04870892,0.085790786,1003.0,132.0,6.0,17.0,16599.0,1452.0,384.0,61.0,147.0,292.0,20337.0,110.0,0,309.0,86.0,46.0,553.0,0.0,11.0,14.0,5.0,30.0,162.0,738.0,106.0,5.0,7.0,116.0,24924.0,32128
MOUNT OMMANEY,14334000,ALP,Safe,11.52,11.52,58,46446.0,0.26486672699999997,0.5920854329999999,0.143155492,400.0,2177.0,46446.0,1.8585579209999998,2893.0,1172.0,8310.0,3814.0,4792.0,327,659.0,5785.0,0.595982322,0.041502611,0.059541985,1553.0,565.0,3.0,39.0,14370.0,994.0,99.0,296.0,134.0,315.0,18592.0,300.0,0,420.0,94.0,35.0,849.0,0.0,55.0,47.0,6.0,111.0,170.0,1130.0,107.0,10.0,8.0,128.0,23407.0,34285
MUNDINGBURRA,52000000,ALP,Marginal,2.25,2.25,61,44724.0,0.273656202,0.582282443,0.143971917,300.0,1660.0,44724.0,1.75100296,1318.0,622.0,4697.0,2768.0,6416.0,503,508.0,7430.0,0.547839784,0.050225023,0.099189919,7.0,256.0,0.0,45.0,14025.0,1289.0,90.0,442.0,151.0,468.0,17041.0,4.0,0,0.0,0.0,0.0,8.0,0.0,16.0,28.0,13.0,58.0,143.0,206.0,0.0,9.0,11.0,15.0,20015.0,32802
MURRUMBA,36454000,ALP,Safe,19.04,19.04,62,73389.0,0.303505975,0.565057434,0.131600104,360.0,1653.0,73389.0,1.830928879,1179.0,776.0,5762.0,5479.0,11608.0,812,1158.0,13579.0,0.5876116229999999,0.049099929,0.08294826400000001,732.0,345.0,0.0,49.0,21928.0,1855.0,368.0,95.0,203.0,455.0,26371.0,177.0,0,592.0,94.0,13.0,880.0,0.0,28.0,33.0,3.0,70.0,201.0,1150.0,122.0,11.0,4.0,143.0,32344.0,33077
NANANGO,15700001,LNP,Safe,26.72,-26.72,63,50313.0,0.251942838,0.532764892,0.21539164800000002,230.0,1221.0,50313.0,1.915561052,450.0,435.0,2882.0,2968.0,8000.0,669,877.0,9539.0,0.56178147,0.057482369000000005,0.070379673,10.0,138.0,0.0,14.0,12153.0,967.0,328.0,87.0,154.0,882.0,14876.0,0.0,0,31.0,3.0,0.0,38.0,0.0,8.0,4.0,4.0,20.0,82.0,138.0,3.0,0.0,6.0,13.0,19243.0,35282
NICKLIN,9040000,LNP,Safe,10.56,-10.56,64,51460.0,0.248289934,0.557811893,0.19387874100000002,330.0,1415.0,51460.0,1.8967446019999998,865.0,710.0,4351.0,4114.0,9066.0,548,898.0,10516.0,0.5156322320000001,0.04998948,0.074731748,48.0,206.0,0.0,21.0,15196.0,1004.0,306.0,49.0,181.0,562.0,17736.0,7.0,0,37.0,0.0,3.0,50.0,0.0,11.0,18.0,3.0,30.0,150.0,234.0,4.0,16.0,13.0,38.0,21987.0,31265
NINDERRY,16860000,LNP,Safe,16.76,-16.76,93,59561.6,0.2981886878,0.5956024114,0.1063000998,334.0,1597.4,59561.6,1.9849531991999998,1126.0,517.4,4327.6,3799.2,8619.4,642,891.2,10152.6,0.5877284664,0.0493898874,0.08662352539999998,614.4,509.8,2.0,24.8,17842.6,1552.2,377.6,62.8,139.6,310.6,21665.2,109.8,0,268.0,51.4,15.6,445.8,0.0,81.6,45.2,8.6,137.6,163.2,746.4,74.4,9.4,6.8,95.2,26121.4,35052
NOOSA,12984000,LNP,Safe,23.06,-23.06,65,52125.0,0.230848921,0.5348297360000001,0.234455635,400.0,1468.0,52125.0,1.8063445219999998,1420.0,924.0,6018.0,4850.0,8083.0,442,1077.0,9608.0,0.497975538,0.044959933,0.065837199,45.0,333.0,5.0,24.0,14171.0,1020.0,175.0,189.0,254.0,640.0,17070.0,0.0,0,25.0,0.0,0.0,23.0,0.0,11.0,30.0,7.0,54.0,133.0,211.0,6.0,9.0,8.0,28.0,22156.0,32139
OODGEROO,7763000,LNP,Safe,14.47,-14.47,22,50283.0,0.24726050600000002,0.556987451,0.195652606,400.0,1914.0,50283.0,1.869212114,1379.0,816.0,5322.0,4618.0,7778.0,438,933.0,9147.0,0.5898722270000001,0.041036294,0.056400408,882.0,311.0,3.0,27.0,16050.0,1058.0,202.0,108.0,185.0,447.0,19478.0,68.0,0,178.0,44.0,22.0,320.0,0.0,52.0,29.0,3.0,85.0,235.0,639.0,58.0,15.0,23.0,92.0,24076.0,30722
PINE RIVERS,19100000,ALP,Safe,12.38,12.38,67,53732.0,0.286551775,0.597800194,0.115685253,350.0,1825.0,53732.0,1.976086339,974.0,713.0,4691.0,4332.0,9009.0,587,818.0,10416.0,0.5987643420000001,0.048437775999999995,0.065984113,1269.0,206.0,3.0,17.0,17222.0,1190.0,290.0,96.0,149.0,378.0,21149.0,155.0,0,538.0,86.0,37.0,812.0,0.0,48.0,24.0,8.0,76.0,164.0,1054.0,104.0,4.0,6.0,114.0,26462.0,35007
PUMICESTONE,7645000,LNP,Swing,1.68,-1.68,68,54770.0,0.215957641,0.5055139679999999,0.278510133,300.0,1179.0,54770.0,1.6310121340000001,593.0,496.0,2979.0,3703.0,9179.0,664,993.0,10840.0,0.5107429960000001,0.055152253,0.111327649,374.0,181.0,0.0,10.0,11847.0,1149.0,259.0,110.0,140.0,399.0,14629.0,59.0,0,191.0,19.0,14.0,283.0,0.0,11.0,22.0,4.0,36.0,113.0,435.0,50.0,5.0,0.0,55.0,18244.0,31022
REDCLIFFE,502850000,ALP,Fairly Safe,9.71,9.71,69,49437.0,0.211622874,0.559702247,0.22845237399999999,310.0,1468.0,49437.0,1.600628769,938.0,646.0,4044.0,3909.0,8116.0,505,938.0,9557.0,0.55855816,0.051481645,0.08412207,256.0,309.0,0.0,31.0,13441.0,1004.0,175.0,144.0,154.0,636.0,16387.0,160.0,0,430.0,45.0,9.0,652.0,0.0,20.0,31.0,12.0,61.0,145.0,858.0,95.0,13.0,8.0,114.0,20703.0,35530
REDLANDS,9900000,ALP,Fairly Safe,6.11,6.11,70,51755.0,0.256709497,0.548855183,0.19433871100000003,395.0,1754.0,51755.0,1.935202492,964.0,670.0,4233.0,4205.0,9356.0,528,950.0,10838.0,0.578586413,0.0472406,0.063135388,111.0,419.0,0.0,10.0,15726.0,961.0,335.0,54.0,134.0,341.0,18307.0,14.0,0,117.0,12.0,3.0,142.0,0.0,155.0,33.0,5.0,240.0,600.0,985.0,43.0,66.0,61.0,171.0,23223.0,32804
ROCKHAMPTON,9700000,ALP,Safe,10.38,10.38,71,49573.0,0.277610796,0.565247211,0.157182337,270.0,1485.0,49573.0,1.656260941,664.0,517.0,3377.0,2261.0,7687.0,663,616.0,8959.0,0.570000869,0.05205527099999999,0.09880942,4.0,292.0,0.0,83.0,14247.0,1477.0,222.0,208.0,89.0,726.0,17544.0,0.0,0,4.0,0.0,0.0,13.0,0.0,31.0,14.0,0.0,41.0,142.0,198.0,0.0,4.0,4.0,13.0,20742.0,35259
SANDGATE,956766000,ALP,Safe,26.96,26.96,72,49956.0,0.248338538,0.5935223000000001,0.158239251,365.0,1857.0,49956.0,1.7022356019999998,1556.0,870.0,6080.0,4093.0,7142.0,426,732.0,8299.0,0.596081008,0.046571848,0.06350003900000001,1749.0,772.0,7.0,39.0,14854.0,1107.0,188.0,139.0,116.0,352.0,19595.0,215.0,0,445.0,71.0,46.0,785.0,0.0,32.0,52.0,8.0,95.0,144.0,1025.0,84.0,9.0,8.0,101.0,24231.0,32624
SCENIC RIM,11739000,LNP,Safe,26.25,-26.25,6,58081.0,0.27244709999999994,0.563247878,0.164167284,320.0,1544.0,58081.0,2.1058367000000002,848.0,612.0,3859.0,4023.0,9623.0,664,1039.0,11323.0,0.580149029,0.055427082,0.059464817,53.0,128.0,0.0,11.0,17413.0,1094.0,535.0,44.0,177.0,640.0,20287.0,5.0,0,106.0,13.0,0.0,129.0,0.0,86.0,13.0,3.0,104.0,147.0,377.0,25.0,4.0,7.0,37.0,25622.0,32074
SOUTH BRISBANE,320746000,ALP,Fairly Safe,7.1,7.1,73,55671.0,0.15918521300000002,0.7460616840000001,0.094609402,400.0,2169.0,55671.0,1.3048263,5312.0,1608.0,13452.0,4153.0,4534.0,352,592.0,5474.0,0.5904642929999999,0.038071442999999996,0.07644032,607.0,4521.0,3.0,140.0,12532.0,1228.0,66.0,1562.0,224.0,3570.0,25647.0,227.0,0,23.0,16.0,17.0,286.0,0.0,86.0,87.0,91.0,375.0,282.0,949.0,84.0,46.0,24.0,159.0,31048.0,35137
SOUTHPORT,14911000,LNP,Safe,14.49,-14.49,75,59729.0,0.214552395,0.614508865,0.170838286,365.0,1422.0,59729.0,1.58747803,2113.0,668.0,6657.0,4872.0,8058.0,498,1031.0,9583.0,0.5195090170000001,0.043612425,0.09291641,233.0,419.0,581.0,52.0,17095.0,1547.0,134.0,306.0,203.0,1179.0,22006.0,70.0,10,80.0,14.0,3.0,181.0,104.0,13.0,15.0,15.0,155.0,245.0,577.0,63.0,33.0,26.0,121.0,26456.0,34555
SPRINGWOOD,24003500,ALP,Fairly Safe,7.19,7.19,76,49374.0,0.266273747,0.602989428,0.130858346,370.0,1920.0,49374.0,2.002251019,1439.0,787.0,5719.0,4129.0,7865.0,433,773.0,9071.0,0.605558029,0.043076580999999996,0.061962007,58.0,1514.0,0.0,36.0,17125.0,1184.0,245.0,79.0,131.0,263.0,20865.0,48.0,0,27.0,13.0,0.0,91.0,0.0,265.0,93.0,17.0,380.0,171.0,650.0,31.0,26.0,8.0,64.0,25280.0,30582
STAFFORD,5734000,ALP,Safe,24.21,24.21,77,47287.0,0.231374374,0.63548121,0.133102121,360.0,2174.0,47287.0,1.5872161480000002,2522.0,1262.0,9043.0,3548.0,5235.0,359,582.0,6176.0,0.616710576,0.045050809000000004,0.054911554,1110.0,2280.0,3.0,65.0,14136.0,1125.0,119.0,436.0,133.0,730.0,20486.0,196.0,0,283.0,46.0,23.0,543.0,0.0,96.0,63.0,39.0,198.0,175.0,918.0,53.0,19.0,7.0,79.0,25113.0,34656
STRETTON,695095000,ALP,Safe,19.77,19.77,78,59141.0,0.265839265,0.631845928,0.102314807,400.0,1658.0,59141.0,1.9195939780000002,4360.0,832.0,10197.0,4444.0,4892.0,361,692.0,5950.0,0.559340253,0.042561053,0.086297827,448.0,2457.0,5.0,60.0,17311.0,1642.0,152.0,93.0,136.0,264.0,22712.0,129.0,0,106.0,24.0,7.0,268.0,0.0,259.0,140.0,20.0,427.0,202.0,890.0,63.0,34.0,3.0,97.0,27204.0,32204
THURINGOWA,19525000,ALP,Fairly Safe,8.3,8.3,81,52997.0,0.311979923,0.582731098,0.105100289,300.0,1631.0,52997.0,1.902335205,568.0,485.0,3466.0,3146.0,9261.0,583,666.0,10511.0,0.57917272,0.050233198,0.09595534800000001,9.0,271.0,3.0,24.0,17419.0,1457.0,209.0,188.0,194.0,318.0,20365.0,0.0,0,0.0,3.0,0.0,4.0,0.0,13.0,17.0,12.0,49.0,152.0,201.0,0.0,8.0,9.0,19.0,23650.0,33001
TOOHEY,6110000,ALP,Safe,20.03,20.03,79,54785.0,0.217358766,0.6371086979999999,0.145605549,370.0,1420.0,54785.0,1.7237706369999999,3668.0,755.0,8661.0,3920.0,5110.0,439,659.0,6209.0,0.5132804679999999,0.043459850999999994,0.108938332,695.0,2193.0,5.0,71.0,13596.0,1534.0,143.0,142.0,137.0,644.0,19329.0,195.0,0,105.0,19.0,6.0,329.0,0.0,138.0,97.0,18.0,257.0,167.0,746.0,71.0,23.0,5.0,94.0,23146.0,34476
TOOWOOMBA NORTH,4270000,LNP,Safe,11.44,-11.44,82,50427.0,0.26265691,0.561683225,0.17575901800000002,275.0,1538.0,50427.0,1.693012414,1262.0,826.0,5040.0,3342.0,7405.0,608,726.0,8744.0,0.580002511,0.044364457999999996,0.073243209,9.0,103.0,0.0,73.0,15567.0,1392.0,185.0,209.0,109.0,867.0,18705.0,0.0,0,5.0,0.0,0.0,7.0,0.0,5.0,11.0,10.0,24.0,161.0,193.0,0.0,3.0,9.0,10.0,22145.0,32392
TOWNSVILLE,248900000,ALP,Swing,0.76,0.76,84,49815.0,0.23436715800000002,0.634226639,0.131225534,265.0,1691.0,49815.0,1.5359798830000002,1520.0,774.0,5793.0,3325.0,7480.0,509,609.0,8600.0,0.592599836,0.048578245,0.090507295,3.0,343.0,3.0,54.0,15557.0,1412.0,149.0,489.0,188.0,1210.0,19765.0,3.0,0,5.0,0.0,3.0,8.0,0.0,8.0,17.0,10.0,46.0,277.0,328.0,0.0,26.0,47.0,77.0,23254.0,34151
TRAEGER,11027000,KAP,Safe,56.98,-56.98,57,32588.0,0.288326992,0.619399779,0.092395974,180.0,2021.0,32588.0,1.745252525,390.0,266.0,2015.0,1299.0,4984.0,362,353.0,5696.0,0.695928598,0.061865754,0.063821983,3.0,174.0,0.0,82.0,8947.0,1070.0,151.0,197.0,248.0,1766.0,12843.0,0.0,0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,3.0,9.0,104.0,117.0,0.0,0.0,16.0,23.0,15307.0,32543
WARREGO,100207000,LNP,Safe,18.91,-18.91,85,41111.0,0.269660188,0.570261001,0.160176109,180.0,1480.0,41111.0,1.967829401,290.0,287.0,2531.0,2229.0,5548.0,494,551.0,6593.0,0.643181008,0.05756788400000001,0.05053747,5.0,94.0,0.0,16.0,10655.0,1009.0,316.0,154.0,269.0,1422.0,14083.0,3.0,0,3.0,0.0,0.0,6.0,0.0,7.0,0.0,4.0,11.0,125.0,144.0,0.0,3.0,20.0,28.0,18642.0,32905
WATERFORD,21100000,ALP,Safe,21.5,21.5,86,64271.0,0.286505578,0.579437071,0.134026233,330.0,1419.0,64271.0,1.7555351000000003,709.0,487.0,3689.0,3889.0,10180.0,824,1062.0,12072.0,0.585965272,0.048981406,0.097347553,636.0,488.0,3.0,29.0,18447.0,1657.0,319.0,72.0,127.0,341.0,22386.0,86.0,0,117.0,45.0,28.0,277.0,0.0,108.0,47.0,10.0,163.0,187.0,623.0,79.0,7.0,6.0,91.0,26408.0,35508
WHITSUNDAY,7338000,LNP,Swing,1.36,-1.36,87,59648.0,0.271241282,0.6122250539999999,0.116550429,300.0,1817.0,59648.0,1.8957145869999998,685.0,586.0,4334.0,3769.0,11144.0,646,926.0,12710.0,0.608214181,0.053968668,0.069244048,14.0,678.0,3.0,52.0,18565.0,1461.0,229.0,161.0,415.0,1569.0,23444.0,0.0,0,7.0,0.0,0.0,7.0,0.0,45.0,22.0,9.0,84.0,262.0,357.0,3.0,17.0,18.0,43.0,28572.0,36013
