Electorate,TotalEstimatedCost,Party,Safety,Margin,MarginPower,Unnamed: 0,Tot_Population,Under_Age,Working_Age,Retired,Median_rent_weekly,Median_tot_fam_inc_weekly,Tot_P_Need_for_Asstn,Ave_Motor_Vehicle_per_Dwelling,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_P,Full_time_Employ,Employ_away_from_work,Unemploy,One_method_Train_P,One_method_Bus_P,One_met_Tram_incl_lt_rail_P,One_method_Taxi_P,One_method_Car_as_driver_P,One_method_Car_as_passenger_P,One_method_Truck_P,One_method_Bicycle_P,One_method_Other_P,One_method_Walked_only_P,One_method_Tot_one_method_P,Two_methods_Train_Bus_P,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_P,Two_methods_Train_Tot_P,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_P,Tot_P,Enrolment
BURNETT,20927000,LNP,Safe,21.31,-21.31,15,48417.0,0.233822831,0.539872359,0.226222195,280.0,1218.0,48417.0,1.88118527,597.0,535.0,3227.0,2828.0,8390.0,598,766.0,9757.0,0.535362975,0.05247885099999999,0.096252213,10.0,159.0,0.0,10.0,12529.0,1024.0,242.0,88.0,142.0,637.0,14982.0,0.0,0,10.0,0.0,0.0,9.0,0.0,14.0,3.0,0.0,21.0,98.0,124.0,0.0,9.0,4.0,11.0,18376.0,32803
CAIRNS,448503000,ALP,Fairly Safe,6.78,6.78,16,60238.0,0.234038315,0.625634981,0.140260301,266.0,1419.0,60238.0,1.457616649,1277.0,751.0,5960.0,4252.0,8484.0,753,906.0,10145.0,0.556409638,0.050635966,0.092413223,17.0,509.0,7.0,171.0,16765.0,1864.0,125.0,833.0,377.0,1461.0,22433.0,0.0,0,12.0,3.0,0.0,12.0,0.0,13.0,43.0,33.0,86.0,217.0,315.0,0.0,27.0,20.0,44.0,26332.0,31624
CALLIDE,43954210,LNP,Safe,12.23,-12.23,17,46182.0,0.249880906,0.550019488,0.199969685,175.0,1259.0,46182.0,1.949523629,309.0,322.0,2265.0,2124.0,6457.0,568,693.0,7714.0,0.600456281,0.06254029700000001,0.065764023,3.0,269.0,3.0,8.0,10604.0,1023.0,289.0,102.0,238.0,1303.0,13993.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,3.0,42.0,114.0,157.0,0.0,4.0,14.0,20.0,18835.0,34999
CALOUNDRA,101000000,LNP,Fairly Safe,6.81,-6.81,18,51095.0,0.235404638,0.538076133,0.22667579999999998,350.0,1426.0,51095.0,1.7583726919999998,916.0,694.0,4415.0,4056.0,8793.0,520,983.0,10292.0,0.52370409,0.05326908,0.073803942,113.0,245.0,0.0,15.0,14271.0,1129.0,250.0,164.0,183.0,573.0,17069.0,19.0,0,90.0,10.0,8.0,123.0,0.0,7.0,18.0,9.0,39.0,136.0,295.0,20.0,12.0,8.0,39.0,21329.0,33826
CAPALABA,13893000,ALP,Safe,15.72,15.72,19,47361.0,0.258313802,0.600620764,0.14100209,370.0,1795.0,47361.0,1.9627738119999998,803.0,556.0,3990.0,3695.0,8739.0,527,790.0,10060.0,0.594380011,0.046469993,0.063088659,455.0,573.0,3.0,33.0,16719.0,1110.0,274.0,88.0,118.0,284.0,19918.0,47.0,0,168.0,24.0,13.0,257.0,0.0,124.0,43.0,9.0,180.0,175.0,616.0,53.0,19.0,3.0,80.0,24073.0,35616
CHATSWORTH,2778197,LNP,Marginal,5.8,-5.8,20,51151.0,0.266329104,0.6065570570000001,0.12685969,425.0,2272.0,51151.0,1.888888889,2427.0,1159.0,8491.0,4147.0,5935.0,326,704.0,6959.0,0.615376424,0.040890214,0.050012423,366.0,2202.0,3.0,37.0,16731.0,1256.0,196.0,167.0,128.0,354.0,21707.0,63.0,0,211.0,23.0,8.0,302.0,0.0,182.0,98.0,20.0,315.0,226.0,834.0,50.0,25.0,5.0,83.0,26771.0,34755
CLAYFIELD,27281000,LNP,Marginal,4.83,-4.83,21,52226.0,0.211944242,0.670202581,0.117872324,360.0,2409.0,52226.0,1.54229249,3295.0,1387.0,10935.0,4351.0,4886.0,329,702.0,5922.0,0.63359654,0.039415484,0.051767635,2614.0,1737.0,13.0,93.0,15755.0,1325.0,91.0,415.0,230.0,863.0,23503.0,321.0,0,244.0,78.0,36.0,692.0,0.0,89.0,40.0,20.0,172.0,158.0,1016.0,84.0,20.0,12.0,116.0,28940.0,35392
CONDAMINE,5256880,LNP,Safe,19.81,-19.81,23,57395.0,0.295147661,0.5599094,0.145099747,255.0,1626.0,57395.0,2.102307524,837.0,520.0,4113.0,3301.0,9102.0,645,847.0,10594.0,0.596901131,0.055020729000000004,0.05979903,8.0,131.0,0.0,20.0,18274.0,1439.0,451.0,129.0,215.0,866.0,21713.0,3.0,0,4.0,0.0,0.0,3.0,0.0,5.0,3.0,3.0,19.0,166.0,190.0,3.0,3.0,10.0,15.0,26761.0,35860
COOK,102876437,ALP,Safe,11.67,11.67,24,51639.0,0.290865431,0.5813048279999999,0.127849106,150.0,1302.0,51639.0,1.549927162,519.0,432.0,2906.0,2575.0,7557.0,872,728.0,9154.0,0.574500137,0.061672600999999994,0.097324934,0.0,264.0,0.0,41.0,10700.0,1428.0,200.0,371.0,384.0,2788.0,16351.0,3.0,0,3.0,0.0,0.0,3.0,0.0,6.0,8.0,9.0,30.0,179.0,216.0,3.0,10.0,15.0,27.0,19778.0,33081
COOMERA,72009000,LNP,Fairly Safe,6.94,-6.94,25,74650.0,0.289457468,0.566349632,0.144286671,395.0,1636.0,74650.0,1.874807059,1322.0,690.0,5529.0,5822.0,11543.0,739,1412.0,13700.0,0.5826881079999999,0.045066508,0.079469072,523.0,223.0,8.0,26.0,22859.0,1761.0,338.0,79.0,270.0,415.0,26753.0,91.0,0,183.0,43.0,14.0,334.0,5.0,22.0,18.0,4.0,60.0,212.0,607.0,104.0,18.0,7.0,123.0,32455.0,35785
COOPER,5000000,ALP,Safe,21.29,21.29,3,46556.0,0.277150099,0.60271501,0.120048973,400.0,2502.0,46556.0,1.754429415,3299.0,1539.0,9563.0,3622.0,4097.0,306,504.0,4904.0,0.598198476,0.040803757,0.05215952,840.0,2241.0,0.0,41.0,13517.0,1188.0,81.0,613.0,127.0,974.0,19971.0,155.0,0,105.0,23.0,13.0,300.0,3.0,149.0,82.0,23.0,259.0,165.0,721.0,48.0,20.0,13.0,83.0,24631.0,32116
EVERTON,18045333,LNP,Fairly Safe,9.88,-9.88,28,46194.0,0.269948478,0.594752565,0.135385548,385.0,2173.0,46194.0,1.885209989,1649.0,1035.0,6635.0,4142.0,6360.0,346,648.0,7348.0,0.605545301,0.042414484,0.050858108,1150.0,686.0,7.0,32.0,15315.0,1005.0,158.0,236.0,122.0,369.0,19379.0,139.0,0,483.0,64.0,21.0,705.0,0.0,82.0,42.0,3.0,126.0,141.0,974.0,77.0,12.0,9.0,95.0,24170.0,31542
FERNY GROVE,53094182,ALP,Fairly Safe,9.26,9.26,29,45719.0,0.286248606,0.574465758,0.139088781,380.0,2192.0,45719.0,2.013906532,1870.0,1225.0,6931.0,3960.0,5993.0,322,696.0,7010.0,0.580893043,0.046645898,0.053499480999999995,1754.0,139.0,0.0,25.0,13485.0,961.0,164.0,153.0,109.0,271.0,17369.0,141.0,0,665.0,135.0,39.0,973.0,0.0,45.0,16.0,3.0,63.0,157.0,1195.0,100.0,4.0,8.0,120.0,22789.0,31706
GAVEN,6993000,ALP,Swing,1.43,1.43,30,58463.0,0.280433779,0.5893813179999999,0.130150694,395.0,1665.0,58463.0,1.979756871,1025.0,643.0,4759.0,4684.0,9875.0,562,1009.0,11445.0,0.568963242,0.04345674099999999,0.070118128,243.0,231.0,9.0,23.0,20623.0,1462.0,305.0,74.0,184.0,291.0,23674.0,63.0,0,104.0,24.0,15.0,199.0,23.0,12.0,32.0,6.0,71.0,170.0,441.0,52.0,12.0,9.0,70.0,28187.0,34274
GLADSTONE,46635000,ALP,Safe,41.39,41.39,31,55616.0,0.295940017,0.610417865,0.09366009800000001,250.0,2023.0,55616.0,1.895930044,629.0,511.0,3814.0,2824.0,10946.0,678,715.0,12339.0,0.592175777,0.049874955,0.109610575,3.0,560.0,3.0,54.0,16535.0,1270.0,124.0,149.0,151.0,601.0,19971.0,0.0,0,7.0,0.0,0.0,4.0,0.0,18.0,6.0,5.0,170.0,538.0,715.0,3.0,637.0,18.0,656.0,24923.0,33600
