SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED30065,20641,22367,43014,7473,4332,11807,3161,6118,9279,546,521,1066,843,716,1561,12021,11688,23710,7213,9212,16424,7,6.1,6.6,58.2,52.3,55.1,54.2,49,51.5,719,700,1420,323,603,924,2565,3450,6018,1907,2941,4850,5618,2464,8083,144,304,442,416,665,1077,6178,3426,9608,18670,19802,38472,4293,4690,8980,11110,11726,22839,11394,12286,23682
SED30066,22001,23099,45097,11171,7494,18661,2886,5228,8117,645,820,1468,1075,904,1983,15773,14454,30223,5003,7246,12248,6.8,6.3,6.6,71.7,62.6,67,66.8,58.6,62.6,967,1038,2012,399,625,1025,3306,4444,7754,2021,2466,4491,4961,2441,7403,237,275,514,321,419,745,5525,3138,8661,19786,20327,40117,4821,4905,9719,11784,12358,24148,11808,11883,23686
SED30067,20524,21431,41954,10708,6254,16960,2447,5679,8129,649,727,1372,958,914,1869,14759,13565,28325,4738,6867,11605,6.5,6.7,6.6,71.9,63.3,67.5,67.3,59.1,63.1,481,489,974,247,467,713,1789,2902,4691,1834,2496,4332,5997,3014,9009,216,373,587,323,496,818,6530,3878,10416,20512,21029,41547,3949,4110,8061,13152,13313,26465,10134,10738,20868
SED30068,21950,23868,45820,6687,3790,10483,2228,4396,6628,568,567,1132,1210,1074,2285,10699,9830,20525,9504,12028,21535,11.3,10.9,11.1,48.7,41.2,44.8,43.2,36.7,39.8,268,331,593,164,331,496,1138,1844,2979,1436,2266,3703,6114,3066,9179,249,421,664,384,606,993,6741,4099,10840,19336,20565,39899,4353,4625,8980,11720,12454,24174,11185,12018,23200
SED30069,19717,21932,41649,7831,4794,12629,2252,4663,6918,525,634,1164,1007,895,1902,11618,10989,22610,6715,9318,16039,8.7,8.1,8.4,58.9,50.1,54.3,53.8,46,49.7,441,495,938,207,441,646,1452,2595,4044,1571,2337,3909,5453,2662,8116,196,305,505,369,567,938,6022,3538,9557,17758,19129,36887,3697,4091,7779,11221,12026,23246,9651,10592,20244
SED30070,20270,21538,41806,9106,5235,14342,2290,5425,7712,538,636,1171,837,721,1565,12773,12017,24788,6479,8492,14968,6.6,6,6.3,63,55.8,59.3,58.9,52.4,55.6,463,502,964,225,443,670,1641,2591,4233,1648,2554,4205,6524,2833,9356,179,351,528,359,593,950,7057,3776,10838,19539,20293,39829,3863,4081,7947,12076,12497,24570,10560,11175,21732
SED30071,18933,20385,39326,8118,5002,13118,1981,4444,6429,558,643,1198,1344,926,2274,12005,11017,23014,5219,7734,12955,11.2,8.4,9.9,63.4,54,58.5,56.3,49.5,52.8,347,320,664,166,350,517,1189,2186,3377,806,1451,2261,5155,2530,7687,260,399,663,282,339,616,5689,3266,8959,17689,18519,36202,3801,4398,8199,11050,11228,22281,9315,10534,19851
SED30072,19181,21224,40402,9322,6096,15423,2415,5194,7607,520,683,1205,860,788,1643,13116,12761,25874,5174,7458,12634,6.6,6.2,6.4,68.4,60.1,64,63.9,56.4,60,752,805,1556,312,555,870,2433,3644,6080,1709,2382,4093,4749,2398,7142,174,259,426,308,419,732,5229,3071,8299,18653,20050,38707,3579,3813,7388,11805,12793,24596,9442,10252,19695
SED30073,25226,24515,49745,11440,8410,19852,4139,5774,9914,574,703,1280,1415,1152,2570,17572,16043,33621,5405,6459,11862,8.1,7.2,7.6,69.7,65.4,67.6,64,60.7,62.4,2583,2725,5312,627,984,1608,6452,7003,13452,2030,2123,4153,3046,1483,4534,153,198,352,273,320,592,3470,2007,5474,16640,16181,32818,8380,8135,16506,8112,8098,16206,16589,15965,32559
SED30074,19464,20170,39641,8132,4216,12351,2087,4669,6761,605,653,1267,654,554,1209,11482,10100,21586,6406,8548,14954,5.7,5.5,5.6,59,50.1,54.5,55.6,47.3,51.4,236,259,490,136,278,416,1057,2021,3076,1021,1679,2695,4589,2442,7034,197,342,538,336,488,830,5125,3274,8402,18687,18889,37573,3249,3489,6744,12921,12945,25870,7899,8373,16273
SED30075,24592,26430,51019,9213,5937,15152,3788,6241,10033,592,684,1272,1415,1296,2710,15009,14157,29166,7367,10120,17487,9.4,9.2,9.3,61,53.6,57.2,55.3,48.7,51.9,1047,1064,2113,232,435,668,2805,3850,6657,1909,2963,4872,5380,2681,8058,182,315,498,395,639,1031,5958,3631,9583,19565,20793,40366,6005,6459,12466,11136,11771,22909,13671,14707,28384
SED30076,19266,20208,39478,10116,6204,16321,2507,5297,7798,504,659,1161,879,792,1670,14004,12947,26952,4383,6355,10742,6.3,6.1,6.2,72.7,64.1,68.3,68.1,60.2,64,703,734,1439,264,522,787,2349,3371,5719,1781,2348,4129,5461,2401,7865,168,269,433,289,486,773,5912,3153,9071,19088,19572,38654,3400,3471,6873,12791,13142,25931,8771,9112,17882
SED30077,18532,20289,38825,9636,6746,16386,2510,5017,7529,462,738,1197,819,642,1459,13426,13142,26570,4030,5867,9897,6.1,4.9,5.5,72.4,64.8,68.4,68,61.6,64.7,1219,1306,2522,442,821,1262,3986,5056,9043,1602,1948,3548,3511,1724,5235,151,210,359,226,354,582,3890,2288,6176,16611,17727,34334,4253,4443,8693,10237,11181,21425,9835,10250,20084
SED30078,23119,24114,47236,10346,6309,16651,3711,5580,9291,597,665,1267,1364,1207,2569,16018,13753,29769,6144,9411,15553,8.5,8.8,8.6,69.3,57,63,63.4,52.1,57.6,2254,2102,4360,341,494,832,4776,5422,10197,2109,2335,4444,3194,1700,4892,153,210,361,277,419,692,3626,2319,5950,21871,22897,44769,5107,5201,10307,13322,13970,27292,12302,12752,25058
SED30079,22745,23286,46032,8358,4976,13334,3763,4922,8681,551,583,1129,1547,1283,2830,14216,11764,25978,7212,10163,17384,10.9,10.9,10.9,62.5,50.5,56.4,55.7,45,50.3,1948,1714,3668,269,488,755,4030,4630,8661,1817,2107,3920,3459,1658,5110,182,257,439,271,388,659,3903,2297,6209,19241,19621,38864,5732,5514,11243,11243,12103,23349,12714,12156,24877
SED30080,25202,25809,51006,9921,6239,16161,4016,6303,10314,599,650,1247,1105,1084,2190,15644,14274,29918,6521,8560,15081,7.1,7.6,7.3,62.1,55.3,58.7,57.7,51.1,54.4,1071,1051,2121,325,456,784,3706,4224,7929,2261,3009,5270,4879,2278,7159,185,287,472,401,667,1066,5469,3224,8692,18773,18988,37763,6020,6339,12356,10180,10547,20731,14178,14362,28540
SED30081,19494,20975,40473,9204,5939,15150,2098,5086,7182,616,700,1314,1361,1148,2510,13277,12875,26158,4797,6800,11601,10.3,8.9,9.6,68.1,61.4,64.6,61.1,55.9,58.4,258,309,568,149,340,485,1038,2423,3466,1264,1880,3146,6078,3186,9261,212,372,583,246,420,666,6535,3975,10511,19008,19793,38799,4242,4752,8989,11612,11938,23553,10289,11499,21792
SED30082,19394,21263,40663,8672,5185,13858,2182,5053,7230,473,584,1060,966,784,1750,12293,11603,23893,5633,8230,13858,7.9,6.8,7.3,63.4,54.6,58.8,58.4,50.9,54.5,598,663,1262,306,522,826,1941,3096,5040,1353,1984,3342,4761,2649,7405,248,367,608,298,432,726,5300,3446,8744,17590,19137,36729,4180,4563,8745,10851,11633,22478,10053,11177,21229
SED30083,18958,22186,41138,8475,5246,13725,2199,4947,7144,455,593,1054,926,832,1760,12056,11625,23683,5555,8840,14390,7.7,7.2,7.4,63.6,52.4,57.6,58.7,48.6,53.3,855,737,1597,257,506,758,2196,3309,5506,1301,1999,3302,4531,2610,7143,221,325,543,267,461,726,5018,3393,8414,17233,19508,36739,4512,4941,9451,10166,11736,21910,10533,11681,22219
SED30084,20484,20568,41046,8966,6183,15151,2330,4526,6856,582,663,1242,1312,1001,2314,13186,12379,25567,5263,6403,11663,9.9,8.1,9.1,64.4,60.2,62.3,58,55.3,56.6,721,805,1520,244,531,774,2215,3573,5793,1436,1882,3325,5114,2365,7480,208,307,509,254,348,609,5574,3024,8600,17063,17068,34130,4701,4877,9573,10458,10077,20533,10488,11139,21621
SED30085,16443,15829,32273,8108,4515,12625,1420,3461,4879,575,555,1130,571,416,992,10676,8953,19629,3822,5135,8956,5.3,4.6,5.1,64.9,56.6,60.8,61.4,53.9,57.7,116,171,290,62,219,287,739,1789,2531,850,1380,2229,3740,1805,5548,180,312,494,234,318,551,4162,2428,6593,15205,14304,29509,2992,3187,6179,10065,9216,19285,6939,7173,14118
SED30086,24147,25967,50119,10761,6378,17143,2651,5185,7835,657,771,1433,1440,1405,2848,15510,13742,29256,6844,10310,17153,9.3,10.2,9.7,64.2,52.9,58.4,58.3,47.5,52.7,331,385,709,150,338,487,1386,2307,3689,1417,2474,3889,6395,3782,10180,304,527,824,456,605,1062,7154,4915,12072,22464,23531,45997,5580,5934,11507,13660,14019,27682,12732,13822,26557
SED30087,23846,23238,47082,12096,6579,18674,2278,5965,8248,830,825,1657,1117,1012,2126,16317,14382,30703,4798,6849,11646,6.8,7,6.9,68.4,61.9,65.2,63.8,57.5,60.7,324,355,685,198,391,586,1481,2855,4334,1565,2211,3769,7977,3168,11144,236,410,646,357,568,926,8564,4151,12710,21543,20801,42349,4892,5316,10209,13068,12332,25400,11936,12504,24442
SED30088,23411,23892,47296,9242,5054,14293,2730,4195,6928,717,638,1357,1864,1669,3531,14546,11553,26101,6875,10345,17212,12.8,14.4,13.5,62.1,48.4,55.2,54.2,41.4,47.7,431,401,829,131,203,335,1283,1818,3098,1276,2013,3295,4792,3235,8021,342,487,830,378,555,933,5513,4273,9787,22848,22904,45756,5227,5313,10536,13672,13720,27390,12429,12640,25068
SED30089,21067,21680,42744,9827,6701,16530,3239,5610,8854,520,741,1265,1126,892,2017,14713,13947,28662,4987,6459,11442,7.7,6.4,7,69.8,64.3,67.1,64.5,60.2,62.3,1827,1855,3681,537,958,1496,4522,5596,10117,1730,2058,3789,3530,1586,5121,168,209,377,274,344,622,3970,2145,6119,18172,18601,36768,4833,4938,9769,10931,11527,22459,11239,11210,22444
SED39494,6509,5179,11693,1106,640,1749,428,552,978,205,149,354,612,375,986,2360,1712,4074,2632,2514,5145,25.9,21.9,24.2,36.3,33.1,34.8,26.7,25.9,26.3,143,123,266,48,71,118,448,701,1147,327,452,779,1395,508,1898,48,67,113,95,112,202,1534,683,2221,1610,1127,2737,3598,3312,6907,1044,637,1684,4011,3681,7693
SED39797,65,81,144,23,11,32,7,11,16,4,13,10,0,0,4,30,35,68,27,32,57,0,0,5.9,46.2,43.2,47.2,52.3,43.2,40.3,0,0,3,0,0,0,0,3,5,3,7,12,11,6,18,0,3,3,0,0,0,13,12,26,52,57,102,6,17,22,33,49,84,25,21,45
