SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED30035,19715,20607,40324,6469,3446,9919,2224,4674,6894,570,540,1114,1007,819,1824,10270,9473,19742,7745,9490,17238,9.8,8.6,9.2,52.1,46,49,47,42,44.5,248,276,521,155,333,485,1008,1891,2898,1162,2070,3240,5714,2736,8446,265,395,657,356,493,846,6331,3620,9952,18408,18683,37093,3477,3739,7213,12252,12225,24478,8671,9379,18046
SED30036,20847,23350,44195,5534,3741,9273,2283,4422,6702,483,508,989,1258,1040,2299,9557,9711,19269,9605,11888,21492,13.2,10.7,11.9,45.8,41.6,43.6,39.8,37.1,38.4,299,339,641,198,402,602,1221,2209,3435,1406,2029,3437,5941,3016,8952,243,367,607,389,615,1005,6572,3997,10565,18274,19924,38195,4340,4930,9272,11178,12015,23197,10749,12171,22923
SED30037,21500,20574,42081,10013,5408,15422,2064,5064,7125,737,714,1454,1056,797,1856,13877,11978,25857,5776,7039,12814,7.6,6.7,7.2,64.5,58.2,61.4,59.6,54.4,57,187,299,488,113,309,426,1075,2157,3235,1104,1790,2892,7018,2875,9897,182,347,529,279,404,685,7479,3630,11115,20237,19042,39282,3972,4126,8099,13148,12224,25367,9594,9785,19376
SED30038,23556,22436,45993,8660,5207,13872,2572,4494,7068,554,647,1206,1477,1252,2730,13264,11605,24874,8590,9064,17654,11.1,10.8,11,56.3,51.7,54.1,50,46.1,48.2,526,539,1063,180,291,470,1704,2400,4107,1376,1963,3340,4280,2420,6704,229,358,585,315,432,752,4822,3211,8033,20523,21292,41821,3919,3853,7766,13598,14072,27671,9419,9777,19189
SED30039,20397,21915,42311,8338,5122,13464,3283,5553,8837,474,676,1148,1206,1195,2403,13305,12544,25851,6020,8290,14307,9.1,9.5,9.3,65.2,57.2,61.1,59.3,51.8,55.4,3195,2681,5873,524,874,1405,5666,6381,12050,1345,1691,3040,1690,978,2669,110,174,280,179,275,454,1981,1423,3406,16135,17082,33214,6280,6633,12911,8732,9330,18064,13219,13885,27102
SED30040,19890,21115,40999,8920,5258,14177,2200,4606,6802,540,669,1204,1149,1023,2170,12798,11554,24354,5800,8216,14017,9,8.9,8.9,64.3,54.7,59.4,58.6,49.9,54.1,306,360,663,185,351,534,1282,2160,3441,1345,2055,3404,5653,3078,8736,239,413,653,313,467,779,6209,3962,10168,18917,19701,38620,4213,4429,8642,11808,12279,24089,10025,10673,20700
SED30041,21063,21840,42907,9258,5389,14641,2203,4939,7140,610,637,1240,1080,997,2073,13145,11952,25098,6405,8388,14790,8.2,8.3,8.3,62.4,54.7,58.5,57.3,50.2,53.7,282,358,638,178,355,530,1136,2034,3172,1422,2069,3489,6032,3218,9247,273,422,689,344,557,900,6645,4195,10836,20050,20589,40635,4231,4502,8741,13010,12971,25984,9898,10875,20774
SED30042,19860,21363,41222,10283,5937,16221,2217,5377,7600,577,669,1244,1067,1026,2096,14140,13015,27158,4618,7193,11812,7.5,7.9,7.7,71.2,60.9,65.9,65.8,56.1,60.8,340,363,706,187,408,599,1410,2359,3768,1666,2322,3988,6010,3318,9325,239,355,593,346,532,876,6600,4200,10797,19522,20167,39682,4232,4680,8910,12021,12324,24346,10425,11371,21794
SED30043,20247,22892,43138,8552,4667,13223,2674,6171,8844,568,610,1174,926,912,1846,12724,12365,25088,6421,9378,15798,7.3,7.4,7.4,62.8,54,58.2,58.3,50,53.9,479,506,987,231,447,676,1983,2971,4952,1601,2497,4094,6092,2977,9068,184,368,556,375,621,998,6657,3967,10621,18436,20059,38494,5008,5569,10578,10802,11881,22686,11756,12964,24719
SED30044,21575,21887,43461,9543,5629,15171,2186,5456,7638,709,674,1384,1177,922,2101,13604,12682,26286,6002,7629,13624,8.7,7.3,8,63.1,57.9,60.5,57.7,53.7,55.7,459,426,887,273,437,711,1521,2724,4247,1277,1767,3043,6365,2757,9119,234,385,618,303,430,737,6900,3575,10472,20316,20341,40657,4021,4212,8235,12730,12615,25343,10480,10896,21375
