SED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED30023,28821,28577,57395,2136,1961,4101,4391,4371,8758,2132,1953,4081,1966,1691,3655,3374,3368,6742,3476,3639,7113,3765,3925,7689,3475,3460,6937,2547,2488,5037,1215,1206,2418,349,516,873,26954,27267,54225,1867,1310,3172,1229,1191,2417,31,26,55,31,31,63,1292,1248,2542,23864,23790,47657,2732,2658,5381,25156,25218,50369,1689,1502,3189,25281,25284,50566,353,318,674,3994,3986,7983,1285,1327,2614,501,419,920,627,1031,1656,8580,9955,18533,1699,1656,3358,6768,6114,12880,1379,1116,2493,1712,1323,3040,79,73,147,25672,26115,51787,2558,2254,4815
SED30024,26287,25357,51639,2067,1855,3914,4067,3850,7920,1637,1544,3186,1618,1663,3288,3347,3625,6972,3260,3289,6550,3518,3357,6873,3255,3085,6335,2245,1935,4185,1001,851,1851,266,299,566,24362,23738,48100,1917,1619,3542,3986,4201,8185,3425,3394,6817,1871,1922,3793,9278,9517,18797,20493,19487,39982,2989,3253,6241,16391,15408,31802,6942,7252,14192,22491,21576,44064,326,328,658,3493,3278,6773,716,772,1494,82,154,230,281,699,979,7278,8158,15436,1863,1965,3824,4999,4356,9351,1264,923,2185,1649,1379,3029,136,125,263,22732,22327,45058,8713,7501,16214
SED30025,36454,38192,74650,2974,2850,5824,5630,5316,10952,2403,2431,4832,2290,2410,4701,4829,5325,10156,4829,5286,10121,4714,4935,9646,3688,3969,7654,3242,3490,6734,1470,1570,3043,383,612,994,34733,36807,71547,1719,1382,3106,753,799,1552,51,38,93,33,41,71,840,881,1719,23602,24377,47976,9854,10836,20684,30543,31801,62344,3104,3621,6725,28122,29483,57601,592,552,1146,5030,4782,9806,1554,1648,3207,476,657,1132,640,1492,2125,12900,14682,27578,2788,2821,5611,6736,7142,13880,1721,1542,3260,977,1038,2014,105,95,200,33244,35104,68353,2763,2987,5751
SED30026,23659,24862,48520,1358,1205,2563,2913,2648,5562,1414,1330,2746,1342,1246,2583,2637,2852,5491,2974,3220,6190,3210,3630,6843,3286,3615,6898,2647,2678,5331,1316,1545,2856,573,892,1465,22334,23689,46027,1318,1172,2489,475,485,966,37,28,59,30,27,60,542,546,1087,17700,18275,35975,4120,4707,8821,20797,21701,42494,1210,1485,2689,20267,21173,41441,261,244,506,2675,2414,5091,995,967,1968,306,453,761,534,952,1492,9200,10126,19321,1703,1652,3356,5039,5518,10556,1038,1100,2141,642,758,1396,55,38,84,21418,22655,44074,3404,3845,7242
SED30027,24740,23708,48456,1588,1494,3087,3554,3363,6919,1518,1410,2935,1290,1078,2373,2845,2737,5581,3062,2896,5959,3204,3269,6476,3360,3151,6510,2686,2520,5203,1279,1265,2549,355,512,862,23039,22351,45390,1702,1360,3062,1744,1401,3148,223,123,340,248,157,408,2218,1681,3898,19587,18476,38064,2479,2708,5185,20564,20450,41011,921,1069,1989,20570,20455,41029,236,219,453,3124,2967,6092,825,882,1707,78,164,245,271,733,1002,6688,7764,14453,1512,1509,3022,5304,5011,10320,1273,1040,2313,1441,1165,2606,78,71,151,20471,20873,41345,8107,3986,12095
SED30028,22466,23727,46194,1519,1416,2936,3316,3172,6489,1517,1522,3045,1567,1467,3036,2862,3049,5913,3320,3644,6963,3273,3407,6679,2363,2515,4883,1688,1932,3617,767,1015,1778,271,588,859,21386,22878,44266,1082,843,1923,304,320,626,35,35,69,20,23,45,361,377,738,17352,18361,35710,4235,4459,8694,19905,20826,40731,1725,2061,3783,19995,21094,41093,279,270,549,3186,3034,6219,1161,1241,2398,474,572,1038,642,1020,1662,11027,11886,22912,1339,1176,2513,3307,3788,7095,612,595,1207,474,735,1209,39,42,81,21251,22603,43859,686,880,1566
SED30029,22580,23144,45719,1569,1413,2984,3601,3352,6952,1672,1481,3151,1215,1117,2331,2239,2469,4710,3352,3648,6998,3341,3601,6939,2562,2726,5286,2074,2124,4193,729,789,1513,224,427,653,21513,22292,43802,1066,851,1919,326,309,635,40,34,74,11,8,24,380,349,730,17812,18214,36022,3886,4027,7910,20456,20838,41301,1298,1514,2810,20429,20927,41359,296,307,604,3405,3195,6596,1301,1205,2510,419,475,890,591,1014,1606,10839,11530,22365,1295,1159,2455,3354,3646,7000,563,532,1096,482,595,1080,35,45,77,21389,22141,43526,609,738,1342
SED30030,28598,29861,58463,2118,1959,4082,4272,4142,8414,2009,1895,3899,1757,1771,3534,3675,4058,7737,4147,4510,8655,4022,4233,8261,2989,3278,6270,2197,2308,4509,1045,1168,2209,364,533,891,27341,28842,56187,1260,1018,2279,521,560,1083,22,23,42,23,21,48,566,606,1169,19385,20017,39406,7476,8046,15522,24311,25104,49411,2706,3103,5808,23002,24026,47029,464,417,882,3976,3814,7796,1339,1368,2708,389,499,890,553,1220,1773,10528,11999,22526,2288,2273,4557,5632,5760,11390,1372,1180,2557,702,731,1434,70,83,147,26797,28135,54929,1370,1502,2872
SED30031,28442,27173,55616,2187,2156,4337,4381,4235,8619,1889,1616,3503,1805,1670,3476,3943,4209,8150,4122,4015,8136,4272,3839,8105,3323,2757,6082,1670,1607,3275,681,771,1457,169,305,477,26289,25687,51978,2159,1483,3637,989,1029,2019,35,44,80,98,100,200,1121,1180,2300,22045,21084,43124,4129,4042,8174,24506,23463,47972,1821,1836,3649,24030,22867,46901,336,323,656,3966,3855,7820,1129,1042,2168,186,315,504,429,1148,1575,8907,9634,18539,2385,2010,4392,6310,5425,11739,1267,962,2227,944,898,1843,63,41,106,25171,24776,49949,3729,2466,6195
SED30032,27887,27495,55380,1535,1461,2998,3870,3567,7440,1778,1663,3441,1630,1403,3031,2977,2854,5832,3451,3463,6919,3822,4167,7993,3760,3952,7712,3357,3230,6584,1356,1276,2630,351,456,802,26406,26300,52704,1482,1191,2674,834,609,1443,47,30,83,39,31,63,921,670,1590,21656,20910,42566,4251,4639,8895,24154,24518,48678,982,1229,2213,23638,23970,47611,260,252,514,3509,3250,6760,1087,1132,2218,232,361,596,425,1052,1477,9027,10698,19727,1938,1854,3789,6198,6054,12248,1342,1108,2452,1147,914,2066,58,55,115,24781,25499,50284,2801,2038,4844
