"","SED_NAME_2016","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Employ_away_from_work","Unemploy","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P"
"64","Nicklin",51460,0.248289933929265,0.557811892732219,0.19387874076953,330,1415,51460,1.89674460230451,865,710,4351,4114,9066,548,898,10516,0.515632232274353,0.0499894803282138,0.0747317483694509,48,206,0,21,15196,1004,306,49,181,562,17736,7,0,37,0,3,50,0,11,18,3,30,150,234,4,16,13,38,21987
"65","Noosa",52125,0.230848920863309,0.534829736211031,0.234455635491607,400,1468,52125,1.80634452231649,1420,924,6018,4850,8083,442,1077,9608,0.497975537747786,0.0449599325179249,0.0658371994938844,45,333,5,24,14171,1020,175,189,254,640,17070,0,0,25,0,0,23,0,11,30,7,54,133,211,6,9,8,28,22156
"66","Nudgee",54688,0.226375073142188,0.641639847864248,0.131893651258046,365,1892,54688,1.58729219081446,2012,1025,7754,4491,7403,514,745,8661,0.617443668729114,0.0485722793898686,0.0656122820368593,2936,1022,0,59,15965,1379,191,268,174,733,23048,281,0,411,117,43,845,0,51,50,11,116,163,1118,98,13,9,118,28245
"67","Pine Rivers",53732,0.2865517754783,0.59780019355319,0.1156852527358,350,1825,53732,1.97608633910821,974,713,4691,4332,9009,587,818,10416,0.598764342453663,0.0484377758164166,0.0659841129744042,1269,206,3,17,17222,1190,290,96,149,378,21149,155,0,538,86,37,812,0,48,24,8,76,164,1054,104,4,6,114,26462
"68","Pumicestone",54770,0.215957641044367,0.505513967500456,0.278510133284645,300,1179,54770,1.6310121339116,593,496,2979,3703,9179,664,993,10840,0.51074299634592,0.0551522533495737,0.111327649208283,374,181,0,10,11847,1149,259,110,140,399,14629,59,0,191,19,14,283,0,11,22,4,36,113,435,50,5,0,55,18244
"69","Redcliffe",49437,0.211622873556243,0.55970224730465,0.228452373728179,310,1468,49437,1.6006287687471,938,646,4044,3909,8116,505,938,9557,0.558558160106148,0.0514816452896948,0.0841220698805838,256,309,0,31,13441,1004,175,144,154,636,16387,160,0,430,45,9,652,0,20,31,12,61,145,858,95,13,8,114,20703
"70","Redlands",51755,0.256709496666989,0.548855183074099,0.194338711235629,395,1754,51755,1.93520249221184,964,670,4233,4205,9356,528,950,10838,0.578586412780378,0.0472406002904631,0.0631353880910118,111,419,0,10,15726,961,335,54,134,341,18307,14,0,117,12,3,142,0,155,33,5,240,600,985,43,66,61,171,23223
"71","Rockhampton",49573,0.277610796199544,0.565247211183507,0.157182337159341,270,1485,49573,1.65626094059984,664,517,3377,2261,7687,663,616,8959,0.570000869036239,0.0520552707047884,0.0988094203528287,4,292,0,83,14247,1477,222,208,89,726,17544,0,0,4,0,0,13,0,31,14,0,41,142,198,0,4,4,13,20742
"72","Sandgate",49956,0.248338537913364,0.593522299623669,0.158239250540476,365,1857,49956,1.70223560238613,1556,870,6080,4093,7142,426,732,8299,0.59608100796166,0.0465718481873696,0.0635000386488367,1749,772,7,39,14854,1107,188,139,116,352,19595,215,0,445,71,46,785,0,32,52,8,95,144,1025,84,9,8,101,24231
"73","South Brisbane",55671,0.159185213127122,0.74606168382102,0.0946094016633436,400,2169,55671,1.30482629983679,5312,1608,13452,4153,4534,352,592,5474,0.590464293150115,0.0380714434430862,0.0764403200380714,607,4521,3,140,12532,1228,66,1562,224,3570,25647,227,0,23,16,17,286,0,86,87,91,375,282,949,84,46,24,159,31048
"74","Southern Downs",49115,0.252265092130714,0.531181919983712,0.216491906749466,220,1260,49115,1.87231381466742,490,416,3076,2695,7034,538,830,8402,0.572176410636524,0.0586954507551191,0.0560085240433614,5,53,3,42,13048,1165,361,113,181,1043,16134,0,0,3,0,0,8,0,4,0,3,8,121,133,8,3,9,15,20373
"75","Southport",59729,0.214552394984011,0.614508865040433,0.170838286259606,365,1422,59729,1.58747802954729,2113,668,6657,4872,8058,498,1031,9583,0.519509017348968,0.0436124254268669,0.0929164095179318,233,419,581,52,17095,1547,134,306,203,1179,22006,70,10,80,14,3,181,104,13,15,15,155,245,577,63,33,26,121,26456
"76","Springwood",49374,0.266273747316401,0.602989427633977,0.130858346498157,370,1920,49374,2.0022510190424,1439,787,5719,4129,7865,433,773,9071,0.60555802908875,0.0430765805877115,0.0619620065301276,58,1514,0,36,17125,1184,245,79,131,263,20865,48,0,27,13,0,91,0,265,93,17,380,171,650,31,26,8,64,25280
"77","Stafford",47287,0.231374373506461,0.635481210480682,0.133102121090363,360,2174,47287,1.58721614802355,2522,1262,9043,3548,5235,359,582,6176,0.616710575837411,0.0450508091832894,0.0549115543846443,1110,2280,3,65,14136,1125,119,436,133,730,20486,196,0,283,46,23,543,0,96,63,39,198,175,918,53,19,7,79,25113
"78","Stretton",59141,0.265839265484182,0.631845927529125,0.102314806986693,400,1658,59141,1.91959397810219,4360,832,10197,4444,4892,361,692,5950,0.559340253283617,0.0425610534448587,0.086297826598139,448,2457,5,60,17311,1642,152,93,136,264,22712,129,0,106,24,7,268,0,259,140,20,427,202,890,63,34,3,97,27204
"79","Sunnybank",54785,0.217358766085607,0.637108697636214,0.145605548964133,370,1420,54785,1.72377063731582,3668,755,8661,3920,5110,439,659,6209,0.513280468088382,0.0434598506428516,0.108938332435137,695,2193,5,71,13596,1534,143,142,137,644,19329,195,0,105,19,6,329,0,138,97,18,257,167,746,71,23,5,94,23146
"80","Surfers Paradise",58376,0.177178977662053,0.636340276826093,0.186360833219131,380,1627,58376,1.54395832372874,2121,784,7929,5270,7159,472,1066,8692,0.540176482385186,0.0416805936225684,0.073200080219266,270,408,806,64,16509,1247,115,413,298,1993,22394,65,16,100,13,12,201,172,19,14,8,214,228,644,54,31,22,107,27729
"81","Thuringowa",52997,0.31197992339189,0.582731097986678,0.105100288695587,300,1631,52997,1.90233520543896,568,485,3466,3146,9261,583,666,10511,0.579172719626883,0.0502331982567475,0.0959553482682162,9,271,3,24,17419,1457,209,188,194,318,20365,0,0,0,3,0,4,0,13,17,12,49,152,201,0,8,9,19,23650
"82","Toowoomba North",50427,0.262656909988697,0.561683225256311,0.175759017986396,275,1538,50427,1.69301241394265,1262,826,5040,3342,7405,608,726,8744,0.580002511195748,0.0443644582095174,0.0732432093081656,9,103,0,73,15567,1392,185,209,109,867,18705,0,0,5,0,0,7,0,5,11,10,24,161,193,0,3,9,10,22145
"83","Toowoomba South",51015,0.257728119180633,0.54331079094384,0.199274723120651,295,1546,51015,1.61772395027477,1597,758,5506,3302,7143,543,726,8414,0.579529620402821,0.044504496896508,0.0743149094287041,11,96,3,77,15780,1542,141,224,101,608,18755,3,0,15,0,0,14,0,5,6,4,25,162,200,0,11,3,12,21918
"84","Townsville",49815,0.2343671584864,0.634226638562682,0.131225534477567,265,1691,49815,1.53597988336633,1520,774,5793,3325,7480,509,609,8600,0.59259983572574,0.0485782453944538,0.090507294559393,3,343,3,54,15557,1412,149,489,188,1210,19765,3,0,5,0,3,8,0,8,17,10,46,277,328,0,26,47,77,23254
"85","Warrego",41111,0.269660188270779,0.570261000705407,0.160176108584077,180,1480,41111,1.96782940055694,290,287,2531,2229,5548,494,551,6593,0.6431810076927,0.0575678842528911,0.0505374700697947,5,94,0,16,10655,1009,316,154,269,1422,14083,3,0,3,0,0,6,0,7,0,4,11,125,144,0,3,20,28,18642
"86","Waterford",64271,0.286505577943396,0.579437071151841,0.134026232671034,330,1419,64271,1.7555351000436,709,487,3689,3889,10180,824,1062,12072,0.585965272080941,0.0489814055236533,0.097347552638775,636,488,3,29,18447,1657,319,72,127,341,22386,86,0,117,45,28,277,0,108,47,10,163,187,623,79,7,6,91,26408
"87","Whitsunday",59648,0.271241282188841,0.612225053648069,0.116550429184549,300,1817,59648,1.89571458729153,685,586,4334,3769,11144,646,926,12710,0.608214181024656,0.0539686675569163,0.0692440478129173,14,678,3,52,18565,1461,229,161,415,1569,23444,0,0,7,0,0,7,0,45,22,9,84,262,357,3,17,18,43,28572
"88","Woodridge",63578,0.331026455692221,0.573169964453113,0.0958822234106137,310,1268,63578,1.70592094472691,829,335,3098,3295,8021,830,933,9787,0.547603540094249,0.051990345197502,0.135282173096816,414,692,0,59,15416,1724,247,74,124,286,19268,111,0,73,35,11,227,0,140,51,9,205,152,585,50,6,3,59,22576
"89","Yeerongpilly",51391,0.227958202798155,0.654628242299235,0.117277344282073,360,2157,51391,1.62146800021862,3681,1496,10117,3789,5121,377,622,6119,0.576721791919615,0.0441350917591236,0.070371921010397,1356,2488,0,60,14361,1228,111,862,114,638,21540,283,0,112,43,32,475,0,139,81,39,269,173,921,76,22,8,99,26645
